"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
7.417525417E-1,5.064695529E-1,2.420567608E-1,2.841136000E-3,1.600000024E0,8.000000000E2
7.459134996E-1,4.988739329E-1,2.338989454E-1,2.841175000E-3,1.600000024E0,8.000000000E2
7.500742496E-1,5.105906388E-1,2.464385071E-1,2.840798000E-3,1.600000024E0,8.000000000E2
7.542350416E-1,5.055504076E-1,2.411655310E-1,2.840600000E-3,1.600000024E0,8.000000000E2
7.583958326E-1,5.111162242E-1,2.472175381E-1,2.840205000E-3,1.600000024E0,8.000000000E2
7.625566667E-1,5.048528068E-1,2.403453638E-1,2.840032000E-3,1.600000024E0,8.000000000E2
7.667175416E-1,5.002934536E-1,2.354325986E-1,2.840021000E-3,1.600000024E0,8.000000000E2
7.708784166E-1,5.077096681E-1,2.434884005E-1,2.839747000E-3,1.600000024E0,8.000000000E2
7.750392497E-1,5.031736905E-1,2.386293598E-1,2.839634000E-3,1.600000024E0,8.000000000E2
7.792001666E-1,5.117994641E-1,2.480675955E-1,2.839215000E-3,1.600000024E0,8.000000000E2
7.833609167E-1,5.052842605E-1,2.409376169E-1,2.839027000E-3,1.600000024E0,8.000000000E2
7.875217077E-1,5.029723769E-1,2.386303966E-1,2.838921000E-3,1.600000024E0,8.000000000E2
7.916825826E-1,5.056269288E-1,2.413978070E-1,2.838721000E-3,1.600000024E0,8.000000000E2
7.958434576E-1,4.985491895E-1,2.336794319E-1,2.838772000E-3,1.600000024E0,8.000000000E2
8.000042916E-1,5.096518390E-1,2.457014953E-1,2.838429000E-3,1.600000024E0,8.000000000E2
8.041650416E-1,5.048544839E-1,2.406156305E-1,2.838256000E-3,1.600000024E0,8.000000000E2
8.083259577E-1,5.103302571E-1,2.465929116E-1,2.837889000E-3,1.600000024E0,8.000000000E2
8.124869996E-1,5.047742939E-1,2.405932326E-1,2.837719000E-3,1.600000024E0,8.000000000E2
8.166477496E-1,4.999244222E-1,2.352855277E-1,2.837721000E-3,1.600000024E0,8.000000000E2
8.208085416E-1,5.079023338E-1,2.438548661E-1,2.837440000E-3,1.600000024E0,8.000000000E2
8.249693746E-1,5.031037208E-1,2.387877243E-1,2.837329000E-3,1.600000024E0,8.000000000E2
8.291302497E-1,5.115320592E-1,2.479465951E-1,2.836919000E-3,1.600000024E0,8.000000000E2
8.332910416E-1,5.049141810E-1,2.408098216E-1,2.836744000E-3,1.600000024E0,8.000000000E2
8.374519167E-1,5.019274432E-1,2.376754015E-1,2.836675000E-3,1.600000024E0,8.000000000E2
