"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
3.436110417E-1,4.993865725E-1,1.300041373E-1,2.548241000E-3,1.600000024E0,1.600000000E3
3.477718747E-1,5.132849188E-1,1.379725133E-1,2.547817000E-3,1.600000024E0,1.600000000E3
3.519327077E-1,4.605944125E-1,1.090467053E-1,2.549071000E-3,1.600000024E0,1.600000000E3
3.560935417E-1,5.366974708E-1,1.520724571E-1,2.547901000E-3,1.600000024E0,1.600000000E3
3.602545827E-1,4.553535489E-1,1.063973778E-1,2.549322000E-3,1.600000024E0,1.600000000E3
3.644152496E-1,5.184531921E-1,1.410044186E-1,2.548733000E-3,1.600000024E0,1.600000000E3
3.685761667E-1,4.944131138E-1,1.270940574E-1,2.548910000E-3,1.600000024E0,1.600000000E3
3.727369577E-1,4.733564714E-1,1.156069536E-1,2.549758000E-3,1.600000024E0,1.600000000E3
3.768978326E-1,5.292066219E-1,1.474552123E-1,2.548827000E-3,1.600000024E0,1.600000000E3
3.810586247E-1,4.495574349E-1,1.034487229E-1,2.550434000E-3,1.600000024E0,1.600000000E3
3.852195416E-1,5.294410598E-1,1.475178947E-1,2.549495000E-3,1.600000024E0,1.600000000E3
3.893803327E-1,4.715079079E-1,1.145698737E-1,2.550403000E-3,1.600000024E0,1.600000000E3
3.935414166E-1,4.919766998E-1,1.257459321E-1,2.550658000E-3,1.600000024E0,1.600000000E3
3.977021667E-1,5.144910187E-1,1.385395651E-1,2.550195000E-3,1.600000024E0,1.600000000E3
4.018630417E-1,4.558540290E-1,1.065357210E-1,2.551602000E-3,1.600000024E0,1.600000000E3
4.060238746E-1,5.333092589E-1,1.498086817E-1,2.550539000E-3,1.600000024E0,1.600000000E3
4.101847077E-1,4.538546768E-1,1.055178199E-1,2.552010000E-3,1.600000024E0,1.600000000E3
4.143455827E-1,5.110035913E-1,1.365696638E-1,2.551658000E-3,1.600000024E0,1.600000000E3
4.185064167E-1,4.948481316E-1,1.272800211E-1,2.551822000E-3,1.600000024E0,1.600000000E3
4.226672497E-1,4.694711861E-1,1.135621085E-1,2.552795000E-3,1.600000024E0,1.600000000E3
4.268282077E-1,5.300576844E-1,1.478428926E-1,2.551835000E-3,1.600000024E0,1.600000000E3
4.309889576E-1,4.494218981E-1,1.032307779E-1,2.553448000E-3,1.600000024E0,1.600000000E3
4.351497917E-1,5.268024411E-1,1.457906671E-1,2.552592000E-3,1.600000024E0,1.600000000E3
4.393105826E-1,4.779987924E-1,1.179202542E-1,2.553294000E-3,1.600000024E0,1.600000000E3
4.434714577E-1,4.934335901E-1,1.263212655E-1,2.553503000E-3,1.600000024E0,1.600000000E3
4.476322496E-1,5.234297955E-1,1.437919230E-1,2.552755000E-3,1.600000024E0,1.600000000E3
4.517931247E-1,4.574293699E-1,1.071973890E-1,2.554113000E-3,1.600000024E0,1.600000000E3
4.559540417E-1,5.375966997E-1,1.522353330E-1,2.552912000E-3,1.600000024E0,1.600000000E3
4.601150826E-1,4.612281757E-1,1.091017398E-1,2.554149000E-3,1.600000024E0,1.600000000E3
4.642757917E-1,5.130772634E-1,1.375245914E-1,2.553731000E-3,1.600000024E0,1.600000000E3
4.684366666E-1,5.038325066E-1,1.321187339E-1,2.553608000E-3,1.600000024E0,1.600000000E3
4.725975417E-1,4.698210871E-1,1.136037178E-1,2.554571000E-3,1.600000024E0,1.600000000E3
4.767583327E-1,5.345335980E-1,1.504393799E-1,2.553468000E-3,1.600000024E0,1.600000000E3
4.809191666E-1,4.517666963E-1,1.043370026E-1,2.555007000E-3,1.600000024E0,1.600000000E3
4.850800417E-1,5.276819632E-1,1.462481909E-1,2.554122000E-3,1.600000024E0,1.600000000E3
4.892408747E-1,4.803131918E-1,1.191491595E-1,2.554750000E-3,1.600000024E0,1.600000000E3
4.934018326E-1,4.877697110E-1,1.231971267E-1,2.555140000E-3,1.600000024E0,1.600000000E3
4.975625827E-1,5.244478943E-1,1.442903975E-1,2.554359000E-3,1.600000024E0,1.600000000E3
5.017233327E-1,4.543803670E-1,1.056444064E-1,2.555815000E-3,1.600000024E0,1.600000000E3
5.058842917E-1,5.349143172E-1,1.506221213E-1,2.554699000E-3,1.600000024E0,1.600000000E3
5.100450417E-1,4.629119566E-1,1.098913498E-1,2.555883000E-3,1.600000024E0,1.600000000E3
5.142059576E-1,5.069659449E-1,1.340376214E-1,2.555660000E-3,1.600000024E0,1.600000000E3
5.183667917E-1,5.054955848E-1,1.330362861E-1,2.555484000E-3,1.600000024E0,1.600000000E3
5.225276246E-1,4.667346622E-1,1.118308214E-1,2.556546000E-3,1.600000024E0,1.600000000E3
5.266887496E-1,5.353645868E-1,1.508106784E-1,2.555415000E-3,1.600000024E0,1.600000000E3
5.308493327E-1,4.523739392E-1,1.046182683E-1,2.556936000E-3,1.600000024E0,1.600000000E3
5.350102916E-1,5.244841108E-1,1.441948271E-1,2.556153000E-3,1.600000024E0,1.600000000E3
5.391710827E-1,4.884387998E-1,1.234058416E-1,2.556522000E-3,1.600000024E0,1.600000000E3
5.433319166E-1,4.882642686E-1,1.234202199E-1,2.556897000E-3,1.600000024E0,1.600000000E3
5.474927917E-1,5.313168774E-1,1.482402570E-1,2.555896000E-3,1.600000024E0,1.600000000E3
5.516536667E-1,4.573617063E-1,1.070649635E-1,2.557258000E-3,1.600000024E0,1.600000000E3
5.558144996E-1,5.387731346E-1,1.529307346E-1,2.556018000E-3,1.600000024E0,1.600000000E3
5.599754576E-1,4.706165932E-1,1.139242534E-1,2.556956000E-3,1.600000024E0,1.600000000E3
5.641361666E-1,5.088474230E-1,1.349489889E-1,2.556673000E-3,1.600000024E0,1.600000000E3
5.682970417E-1,5.137791095E-1,1.378538220E-1,2.556232000E-3,1.600000024E0,1.600000000E3
5.724578747E-1,4.671617134E-1,1.120503368E-1,2.557281000E-3,1.600000024E0,1.600000000E3
5.766187077E-1,5.392159617E-1,1.532026806E-1,2.556027000E-3,1.600000024E0,1.600000000E3
5.807795826E-1,4.568305653E-1,1.067574862E-1,2.557406000E-3,1.600000024E0,1.600000000E3
5.849404167E-1,5.255904187E-1,1.448390545E-1,2.556587000E-3,1.600000024E0,1.600000000E3
5.891012076E-1,4.926520780E-1,1.257601142E-1,2.556821000E-3,1.600000024E0,1.600000000E3
5.932623747E-1,4.835777120E-1,1.208395146E-1,2.557345000E-3,1.600000024E0,1.600000000E3
